Product StockKeepingUnit,Price (01s68000002Qj2cAAC) EUR,Price (01s68000002Qj2cAAC) RON,IsActive
5200568369,5.27,,true
5200568370,4.27,,true
5200568372,4.35,,true
5200568373,5.06,,true
5200568374,5.16,,true
5200568375,6.02,,true
5200568376,6.44,,true
5200568377,4.6,,true
5200568378,5.36,,true
5200568379,5.74,,true
5200568381,1.61,,true
5200568382,1.58,,true
5200568384,5.64,,true
5200568387,5.08,,true
5200568388,4.48,,true
5200568389,5.82,,true
5200568907,15.31,,true
5200569307,56.93,,true
5200569553,13.17,,true
5200569554,13.44,,true
5200569556,15.67,,true
5200569558,16.77,,true
5200569559,19.17,,true
5200569560,18.86,,true
5200569744,19.74,,true
5200571529,3.2,,true
5200571530,3.84,,true
5200571531,4.48,,true
5200571544,3.04,,true
5200571546,3.51,,true
5200571547,4.68,,true
5200571548,3.54,,true
5200571549,4.08,,true
5200571550,5.44,,true
5200571553,4.65,,true
5200571555,6.2,,true
5200571557,2.44,,true
5200571558,2.82,,true
5200571562,3.76,,true
5200571760,30.13,,true
5200571761,17.8,,true
5200571762,17.18,,true
5200574376,25.28,,true
5200576482,8.65,,true
5200603005,26.07,,true
5200603007,25.82,,true
5200603326,12.52,,true
5200603327,12.52,,true
5200603328,12.52,,true
5200603329,12.52,,true
5200603330,12.52,,true
5200603331,12.52,,true
5200609249,56.76,,true
5200609359,4.24,,true
5200609482,1.35,,true
5200619246,27.71,,true
5200620159,41.18,,true
5200620947,35.22,,true
5200631605,26.35,,true
5200631776,12.65,,true
5200631777,30.27,,true
5200632236,12.65,,true
5200633067,0.61,,true
5200633068,1.22,,true
5200634587,85.36,,true
5200638638,16.92,,true
5200640711,26.07,,true
5200642948,39.8,,true
5200644006,41.93,,true
5200646436,39.8,,true
5200660333,38.04,,true
5200660334,12.58,,true
5200661054,3.88,,true
5200661113,28.51,,true
5200665156,7.16,,true
5200676667,19.74,,true
5200676873,39.8,,true
5200678152,33.72,,true
5200683464,39.8,,true
5200688500,30.87,,true
5200690537,37.13,,true
5200690542,115.2,,true
5200690546,237.67,,true
5200691081,142.31,,true
5200691107,158.8,,true
5200691131,163.86,,true
5200691135,1.17,,true
5200691147,169.17,,true
5200691151,120.5,,true
5200691156,120.92,,true
5200692740,85.36,,true
5200767064,58.35,,true
5200771447,39.8,,true
5200772424,98.78,,true
5200774057,3.78,,true
5200812119,33.93,,true
5200813884,3.23,,true
